id,COD,Nombre,Fecha,FK_Periodo,Anyo,Valor,Variacion_Interanual_IPV
53,IPV756,"Balears, Illes. Vivienda nueva. Índice. ",1175378400000,20,2007,115.1,-3.277310924369753
53,IPV756,"Balears, Illes. Vivienda nueva. Índice. ",1167606000000,19,2007,110.72,-3.8053866203301436
54,IPV910,"Balears, Illes. Vivienda nueva. Variación trimestral. ",1191189600000,22,2007,1.7,-98.46459537572254
54,IPV910,"Balears, Illes. Vivienda nueva. Variación trimestral. ",1183240800000,21,2007,3.4,100.0
54,IPV910,"Balears, Illes. Vivienda nueva. Variación trimestral. ",1175378400000,20,2007,4.0,17.647058823529417
54,IPV910,"Balears, Illes. Vivienda nueva. Variación trimestral. ",1167606000000,19,2007,1.6,-60.0
55,IPV909,"Balears, Illes. Vivienda nueva. Variación anual. ",1191189600000,22,2007,11.0,587.5
55,IPV909,"Balears, Illes. Vivienda nueva. Variación anual. ",1183240800000,21,2007,12.1,9.999999999999996
55,IPV909,"Balears, Illes. Vivienda nueva. Variación anual. ",1175378400000,20,2007,12.4,2.4793388429752126
55,IPV909,"Balears, Illes. Vivienda nueva. Variación anual. ",1167606000000,19,2007,12.9,4.032258064516129
56,IPV908,"Balears, Illes. Vivienda nueva. Variación en lo que va de año. ",1191189600000,22,2007,11.0,-14.728682170542637
56,IPV908,"Balears, Illes. Vivienda nueva. Variación en lo que va de año. ",1183240800000,21,2007,9.2,-16.36363636363637
56,IPV908,"Balears, Illes. Vivienda nueva. Variación en lo que va de año. ",1175378400000,20,2007,5.6,-39.130434782608695
56,IPV908,"Balears, Illes. Vivienda nueva. Variación en lo que va de año. ",1167606000000,19,2007,1.6,-71.42857142857143
57,IPV755,"Balears, Illes. Vivienda segunda mano. Índice. ",1191189600000,22,2007,153.28,9480.0
57,IPV755,"Balears, Illes. Vivienda segunda mano. Índice. ",1183240800000,21,2007,155.34,1.3439457202505234
57,IPV755,"Balears, Illes. Vivienda segunda mano. Índice. ",1175378400000,20,2007,153.65,-1.0879361400798233
57,IPV755,"Balears, Illes. Vivienda segunda mano. Índice. ",1167606000000,19,2007,148.9,-3.0914415880247312
58,IPV907,"Balears, Illes. Vivienda segunda mano. Variación trimestral. ",1191189600000,22,2007,-1.3,-100.87306917394226
58,IPV907,"Balears, Illes. Vivienda segunda mano. Variación trimestral. ",1183240800000,21,2007,1.1,-184.6153846153846
58,IPV907,"Balears, Illes. Vivienda segunda mano. Variación trimestral. ",1175378400000,20,2007,3.2,190.9090909090909
58,IPV907,"Balears, Illes. Vivienda segunda mano. Variación trimestral. ",1167606000000,19,2007,2.2,-31.25
59,IPV906,"Balears, Illes. Vivienda segunda mano. Variación anual. ",1191189600000,22,2007,5.2,136.36363636363635
59,IPV906,"Balears, Illes. Vivienda segunda mano. Variación anual. ",1183240800000,21,2007,9.1,74.99999999999999
59,IPV906,"Balears, Illes. Vivienda segunda mano. Variación anual. ",1175378400000,20,2007,10.1,10.989010989010989
59,IPV906,"Balears, Illes. Vivienda segunda mano. Variación anual. ",1167606000000,19,2007,13.9,37.62376237623763
60,IPV905,"Balears, Illes. Vivienda segunda mano. Variación en lo que va de año. ",1191189600000,22,2007,5.2,-62.58992805755395
60,IPV905,"Balears, Illes. Vivienda segunda mano. Variación en lo que va de año. ",1183240800000,21,2007,6.6,26.92307692307691
60,IPV905,"Balears, Illes. Vivienda segunda mano. Variación en lo que va de año. ",1175378400000,20,2007,5.5,-16.666666666666664
60,IPV905,"Balears, Illes. Vivienda segunda mano. Variación en lo que va de año. ",1167606000000,19,2007,2.2,-60.0
61,IPV754,Canarias. General. Índice. ,1191189600000,22,2007,140.62,6291.818181818182
61,IPV754,Canarias. General. Índice. ,1183240800000,21,2007,139.19,-1.0169250462238706
61,IPV754,Canarias. General. Índice. ,1175378400000,20,2007,136.82,-1.7027085279114913
61,IPV754,Canarias. General. Índice. ,1167606000000,19,2007,132.56,-3.1135798859815753
62,IPV904,Canarias. General. Variación trimestral. ,1191189600000,22,2007,1.0,-99.24562462281231
62,IPV904,Canarias. General. Variación trimestral. ,1183240800000,21,2007,1.7,70.0
62,IPV904,Canarias. General. Variación trimestral. ,1175378400000,20,2007,3.2,88.23529411764707
62,IPV904,Canarias. General. Variación trimestral. ,1167606000000,19,2007,2.4,-25.000000000000007
63,IPV903,Canarias. General. Variación anual. ,1191189600000,22,2007,8.6,258.3333333333333
63,IPV903,Canarias. General. Variación anual. ,1183240800000,21,2007,11.6,34.883720930232556
63,IPV903,Canarias. General. Variación anual. ,1175378400000,20,2007,13.9,19.82758620689656
63,IPV903,Canarias. General. Variación anual. ,1167606000000,19,2007,14.6,5.035971223021578
64,IPV902,Canarias. General. Variación en lo que va de año. ,1191189600000,22,2007,8.6,-41.09589041095891
64,IPV902,Canarias. General. Variación en lo que va de año. ,1183240800000,21,2007,7.5,-12.790697674418603
64,IPV902,Canarias. General. Variación en lo que va de año. ,1175378400000,20,2007,5.7,-23.999999999999996
64,IPV902,Canarias. General. Variación en lo que va de año. ,1167606000000,19,2007,2.4,-57.89473684210527
